,nº grupo,crédito min,crédito máx,prazo rest,taxa adm máx,lance mín,lance máx,contemp
0,50127,150000.0,150000.0,100,15.0,0.0,0.0,0
1,20265,27445.5,34995.0,8,9.0,1.999,36.856,16
2,20272,28255.3,32197.9,7,9.0,8.694,35.0,3
3,20278,28574.36,34995.0,8,9.0,6.521,30.0,2
4,20285,28717.0,42895.0,9,9.0,14.406,35.0,1
5,20286,38046.0,52422.0,29,12.73,58.279,68.1,15
6,20288,38046.0,52422.0,29,12.73,30.0,65.0,13
7,20292,28269.0,52422.0,11,9.0,1.0,27.682,3
8,20294,38571.0,53145.0,30,13.17,51.745,66.0,13
9,20295,38046.0,52422.0,30,13.17,58.0,65.0,16
10,20297,28861.0,52375.0,11,9.0,23.795,23.795,1
11,20300,38046.0,52422.0,31,13.61,58.5,68.1,13
12,20319,28385.0,54068.0,14,9.0,3.0,23.755,4
13,20321,32772.0,52410.0,33,14.48,37.936,67.0,18
14,20323,53609.0,60574.0,14,9.0,18.212,26.348,2
15,20335,32801.0,32801.0,8,9.0,4.095,41.0,8
16,20370,38722.0,60530.0,44,15.63,49.464,67.87,13
17,20377,52792.0,103377.0,25,11.11,40.2,61.0,16
18,20384,53367.0,104344.0,26,9.63,40.701,59.2,12
19,20386,53609.0,104142.0,26,10.6,41.427,60.0,14
20,20387,34680.0,59670.0,46,16.34,59.223,67.968,13
21,20393,34381.0,59526.0,47,15.18,64.845,71.809,12
22,20401,34401.0,56967.0,48,17.05,63.579,69.91,13
23,20403,53552.0,102787.0,28,12.45,30.0,53.611,16
24,20406,35361.0,57122.0,49,14.85,60.0,67.968,14
25,20409,69021.0,96070.0,29,10.74,40.789,66.0,11
26,20410,26776.0,26776.0,48,18.6,45.373,62.072,14
27,20418,41922.0,57291.0,50,15.39,59.223,66.55,16
28,20425,65710.0,97776.0,31,13.78,36.372,70.0,15
29,20433,66452.0,97490.0,32,11.86,37.005,59.449,11
30,20436,32561.48,50021.0,32,15.32,27.997,69.807,18
31,20437,31995.0,49995.0,52,17.19,58.223,70.35,14
32,20443,32561.48,55685.0,52,14.33,40.088,68.717,8
33,20450,34774.0,59288.0,53,16.06,50.153,68.442,15
34,20452,30516.0,53947.0,33,14.48,43.907,65.0,16
35,20457,53768.0,96620.0,33,13.45,45.797,62.5,15
36,20458,34774.0,59288.0,53,14.6,59.223,75.83,10
37,20462,30516.0,53947.0,33,14.48,56.676,65.0,17
38,20467,54489.0,98598.0,34,15.12,47.074,64.0,18
39,20468,34807.0,58740.0,54,16.36,60.0,67.0,14
40,20471,30516.0,53947.0,34,16.28,54.741,67.649,17
41,20474,33134.0,59451.0,55,15.15,60.0,69.0,10
42,20481,33700.0,60467.0,55,15.15,59.975,71.34,13
43,20485,116174.0,173518.0,36,14.77,48.396,70.477,24
44,20486,32335.0,59473.0,56,15.43,65.891,68.674,10
45,20487,32335.0,59473.0,56,15.43,45.171,68.45,10
46,20491,32335.0,53125.0,36,15.8,41.415,71.197,18
47,20494,53165.0,98994.0,38,13.43,38.152,68.0,19
48,20497,32200.0,53220.0,37,14.34,30.0,68.147,15
49,20498,32772.0,60927.0,57,15.7,59.223,70.0,7
50,20503,41886.0,59863.0,57,14.62,69.0,75.594,9
51,20506,32346.0,53165.0,38,14.73,38.878,66.0,15
52,20507,53039.0,99649.0,39,13.78,37.616,67.637,16
53,20509,42176.0,59670.0,58,17.85,59.223,67.035,15
54,20513,33518.0,53039.0,39,15.12,38.835,64.765,14
55,20517,33614.0,60716.0,59,19.51,62.09,70.943,14
56,20523,32801.0,51425.0,40,15.5,30.0,70.0,17
57,20524,33591.0,58338.0,60,19.84,55.34,72.356,18
58,20527,32955.0,56967.0,60,19.84,31.722,67.506,12
59,20535,33820.0,57122.0,61,18.78,59.223,71.434,14
60,20546,41922.0,57291.0,62,17.67,63.0,79.105,16
61,20555,32907.0,57291.0,62,19.08,64.1,71.659,15
62,20563,26284.0,26284.0,63,19.39,46.59,55.586,11
63,20574,32561.48,55685.0,64,19.7,60.5,76.874,16
64,20576,26580.8,26580.8,64,19.7,51.056,56.43,11
65,20580,30516.0,53947.0,45,17.44,54.222,69.593,21
66,20583,113685.0,186286.0,65,14.94,65.5,70.975,16
67,20584,34774.0,59288.0,65,20.01,59.223,68.413,14
68,20592,59451.0,73276.0,15,9.0,1.0,45.891,10
69,20595,35287.0,59549.0,66,20.31,46.84,76.614,14
70,20596,30516.0,53947.0,47,18.22,53.62,76.975,15
71,20598,113685.0,186286.0,67,15.4,59.223,79.892,13
72,20606,33134.0,59451.0,67,20.62,40.222,62.343,13
73,20608,113685.0,186286.0,67,16.8,59.0,70.059,18
74,20612,32335.0,53125.0,48,18.6,40.0,70.124,19
75,20613,33134.0,59451.0,67,20.62,58.223,70.607,14
76,20616,115313.0,209660.0,68,17.05,52.059,70.515,19
77,20617,41704.0,60530.0,68,17.76,63.0,74.585,14
78,20621,111581.0,182413.0,68,17.05,59.223,76.445,16
79,20624,32346.0,53165.0,50,16.53,30.0,74.343,15
80,20625,42631.0,60927.0,69,19.66,63.154,77.033,14
81,20626,66881.0,99779.0,49,15.08,34.348,68.0,19
82,20628,113685.0,186286.0,69,17.31,56.027,81.279,18
83,20631,42631.0,60927.0,69,19.66,49.079,74.648,13
84,20633,110072.0,209660.0,69,17.31,54.711,79.805,19
85,20637,54722.0,85036.0,19,10.18,2.41,49.341,11
86,20639,42815.0,60574.0,70,19.95,56.399,70.311,14
87,20640,33518.0,54068.0,31,14.84,29.126,60.0,24
88,20642,113685.0,186286.0,70,17.56,62.546,69.847,15
89,20646,33518.0,59526.0,71,21.85,57.498,85.724,14
90,20647,113685.0,186286.0,71,17.81,56.81,69.903,18
91,50004,63160.0,63160.0,73,18.31,63.0,83.927,13
92,50014,35201.0,63160.0,73,19.97,53.043,80.305,14
93,50022,109460.0,218919.0,74,16.87,65.141,86.323,14
94,50025,35212.0,63180.0,74,20.25,57.0,84.118,15
95,50027,31350.0,62700.0,56,18.51,35.315,68.102,17
96,50030,41696.0,52120.0,25,9.26,30.0,65.975,14
97,50033,31350.0,52250.0,76,20.79,61.761,71.77,15
98,50034,57475.0,104500.0,24,10.72,30.0,57.701,16
99,50035,57475.0,99275.0,56,15.8,58.708,72.659,14
100,50036,104500.0,209000.0,76,17.33,66.0,76.555,14
101,50038,156360.0,208480.0,77,16.68,63.441,72.93,17
102,50039,41696.0,52120.0,25,9.26,40.771,61.978,17
103,50040,52120.0,52120.0,77,19.31,63.315,92.68,12
104,50041,57332.0,104240.0,25,10.19,38.704,63.006,23
105,50042,57332.0,99028.0,57,16.08,64.185,75.147,14
106,50043,31272.0,52120.0,57,18.84,62.943,85.709,18
107,50044,31272.0,52120.0,57,18.84,58.174,70.351,19
108,50047,31272.0,52120.0,77,21.07,60.757,83.0,16
109,50048,104240.0,208480.0,77,16.09,63.0,82.31,14
110,50049,31272.0,52120.0,77,21.07,63.0,68.373,14
111,50050,57332.0,99028.0,25,9.26,32.314,68.0,12
112,50052,57431.0,99199.0,58,17.85,48.754,75.0,19
113,50053,31326.0,62652.0,26,10.37,58.0,69.921,20
114,50054,104420.0,208840.0,78,17.78,57.362,78.841,14
115,50055,156630.0,208840.0,78,14.08,63.0,79.423,12
116,50056,31326.0,62652.0,38,14.73,44.0,69.281,21
117,50057,31326.0,52210.0,78,21.34,63.0,95.0,13
118,50058,57431.0,99199.0,26,9.15,42.577,64.3,10
119,50059,41768.0,52210.0,58,17.85,56.815,89.319,21
120,50060,104420.0,208840.0,78,17.78,66.711,76.614,17
121,50061,31326.0,52210.0,78,21.34,61.916,95.0,12
122,50063,41904.0,52380.0,27,10.0,39.546,62.499,15
123,50064,57431.0,99199.0,26,9.15,42.189,61.717,10
124,50065,57618.0,99522.0,59,16.65,61.182,73.428,15
125,50066,157140.0,209520.0,79,17.11,54.819,72.113,19
126,50068,104760.0,209520.0,79,16.51,63.0,91.049,13
127,50069,57657.0,99589.0,28,10.37,45.263,82.992,22
128,50070,31428.0,52380.0,59,19.51,61.0,80.342,14
129,50073,41932.0,52415.0,28,11.41,47.886,68.0,25
130,50080,57657.0,99589.0,61,15.94,60.415,72.947,13
131,50081,100000.0,200000.0,81,14.0,60.415,73.36,14
132,50082,31449.0,52415.0,61,18.78,41.337,72.0,14
133,50083,31449.0,62898.0,80,21.89,63.387,71.626,19
134,50084,31449.0,62898.0,41,14.57,63.0,74.724,17
135,50085,41932.0,52415.0,29,11.82,48.448,65.0,19
136,50086,57657.0,115313.0,41,14.49,53.848,68.0,29
137,50087,209660.0,387871.0,81,17.54,68.634,81.035,20
138,50090,62898.0,62898.0,81,20.31,53.261,95.0,98
139,50091,31449.0,52415.0,61,17.21,62.0,70.0,12
140,50092,100000.0,200000.0,81,14.0,62.0,72.33,13
141,50094,104560.0,203892.0,82,18.7,61.692,87.571,17
142,50100,58014.0,100206.0,64,16.72,62.0,78.571,18
143,50102,31644.0,63288.0,44,17.05,42.0,71.981,24
144,50103,42212.0,52765.0,33,11.62,62.901,70.0,13
145,50107,105320.0,210640.0,86,17.65,60.0,78.261,12
146,50108,31596.0,63192.0,86,21.57,52.0,70.0,12
147,50109,300000.0,300000.0,89,16.23,64.773,80.0,14
148,50110,55000.0,100000.0,68,19.38,60.0,80.1,31
149,50111,100000.0,200000.0,88,18.06,62.33,86.667,13
150,50112,30000.0,50000.0,88,22.07,61.0,78.0,12
151,50114,100000.0,200000.0,88,18.06,61.818,80.0,12
152,50115,100000.0,200000.0,89,18.26,65.0,95.0,32
153,50117,100000.0,200000.0,91,18.67,21.512,85.0,21
154,50118,50895.0,99793.0,78,17.93,68.04,68.218,2
155,50119,45493.5,57791.3,97,22.12,43.488,69.179,21
156,50120,45493.5,57791.3,98,22.34,45.573,95.0,13
157,50121,45493.5,57791.3,98,22.34,51.91,60.281,7
158,50122,100000.0,100000.0,80,11.0,0.0,0.0,0
159,50123,200000.0,200000.0,100,11.0,0.0,0.0,0
160,50124,30000.0,60000.0,60,13.5,0.0,0.0,0
